"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-04-02T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,19
"2020-04-03T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,226
"2020-04-03T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,188
"2020-04-03T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2503
"2020-04-03T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,304
"2020-04-03T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,354
"2020-04-03T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,25
"2020-04-04T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,240
"2020-04-04T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,188
"2020-04-04T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2620
"2020-04-04T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,318
"2020-04-04T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,364
"2020-04-04T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,27
"2020-04-05T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,243
"2020-04-05T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,189
"2020-04-05T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2714
"2020-04-05T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,336
"2020-04-05T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,369
"2020-04-05T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,29
"2020-04-06T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,243
"2020-04-06T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,266
"2020-04-06T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2769
